Non targets;;;
hsa-miR-518d-5p;595;X;Functional MTI
hsa-miR-516b-5p;595;X;Functional MTI
hsa-miR-518a-5p;595;X;Functional MTI
hsa-miR-517-5p;3845;X;Functional MTI
hsa-miR-520h;51701;X;Functional MTI
hsa-miR-521;2627;X;Functional MTI
hsa-miR-522-5p;1045;X;Functional MTI
hsa-miR-519a-5p;51701;X;Functional MTI
hsa-miR-527;2627;X;Functional MTI
hsa-miR-516a-5p;1045;X;Functional MTI
hsa-miR-516a-5p;51701;X;Functional MTI
hsa-miR-519a-3p;2627;X;Functional MTI
hsa-miR-499a-5p;2627;X;Functional MTI
hsa-miR-500a-5p;1045;X;Functional MTI
hsa-miR-501-5p;57169;X;Functional MTI
hsa-miR-502-5p;57169;X;Functional MTI
hsa-miR-450a-5p;57169;X;Functional MTI
hsa-miR-503-5p;57169;X;Functional MTI
hsa-miR-504-5p;57169;X;Functional MTI
hsa-miR-505-5p;6346;X;Functional MTI
hsa-miR-513a-5p;6346;X;Functional MTI
hsa-miR-513a-5p;7107;X;Functional MTI
hsa-miR-506-5p;7107;X;Functional MTI
hsa-miR-507;7107;X;Functional MTI
hsa-miR-508-5p;64859;X;Functional MTI
hsa-miR-509-5p;64859;X;Functional MTI
hsa-miR-510-5p;64859;X;Functional MTI
hsa-miR-514a-5p;64859;X;Functional MTI
hsa-miR-514a-5p;64859;X;Functional MTI
hsa-miR-514a-5p;4863;X;Functional MTI
hsa-miR-532-5p;4863;X;Functional MTI
hsa-miR-455-5p;4863;X;Functional MTI
hsa-miR-539-5p;7525;X;Functional MTI
hsa-miR-544a;648;X;Functional MTI
hsa-miR-545-5p;648;X;Functional MTI
hsa-miR-376a-2-5p;983;X;Functional MTI
hsa-miR-487b-5p;983;X;Functional MTI
hsa-miR-551a;983;X;Functional MTI
hsa-miR-552-5p;3159;X;Functional MTI
hsa-miR-553;3159;X;Functional MTI
hsa-miR-554;3159;X;Functional MTI
hsa-miR-92b-5p;898;X;Functional MTI
hsa-miR-555;898;X;Functional MTI
hsa-miR-556-5p;898;X;Functional MTI
hsa-miR-557;898;X;Functional MTI
hsa-miR-558;898;X;Functional MTI
hsa-miR-559;898;X;Functional MTI
hsa-miR-561-5p;648;X;Functional MTI
hsa-miR-562;89780;X;Functional MTI
hsa-miR-563;89780;X;Functional MTI
hsa-miR-564;4602;X;Functional MTI
hsa-miR-566;4602;X;Functional MTI
hsa-miR-567;993;X;Functional MTI
hsa-miR-568;993;X;Functional MTI
